term;gene
Stress;SCVPRT2075B03.g_SS
Receptors;SCEQHR1081F09.g_SS
;SCEQHR1080H04.g_SS
;SCEQHR1081G08.g_SS
Amino acid metabolism;SCQGLB1038F04.g_SS
Stress;SCSFRT2069E03.g_SS
;SCQSLR1018E11.g_SS
;SCJFLR1013H01.g_SS
;SCMCRT2088B06.g_SS
No matches;SCSGHR1066D09.g_SS
Cell cycle;SCVPRZ2037F07.g_SS
Amino acid metabolism;SCACLR1127E08.g_SS
Secondary metabolism;SCEQHR1082D05.g_SS
;SCEZHR1047H10.g_SS
;SCJLLR1104G12.g_SS
;SCBFLR1083D02.g_SS
Stress;SCEZHR1048H09.g_SS
;SCQGLB1028B06.g_SS
Cell wall;SCEZHR1049A07.g_SS
;SCSBLB1032F04.g_SS
;SCEZHR1048E07.g_SS
Bioenergetics;SCCCST2002A09.g_SS
;SCEZHR1048G04.g_SS
;SCSGST1072E10.g_SS
Stress;SCEZHR1049C07.g_SS
Protein kinase;SCCCST2002B08.g_SS
;SCEZHR1055B11.g_SS
;SCBFRZ2045E07.g_SS
;SCEZHR1049E02.g_SS
;SCEZHR1055D12.g_SS
;SCEZRZ1016C04.g_SS
Lipid, fatty-acid and isoprenoid metabolism;SCEQRT1026B11.g_SS
Phosphatases;SCJFRT1008G01.g_SS
Transporters;SCQGLR1041C03.g_SS
Receptors;SCMCRZ3065H07.g_SS
;SCEPAM1015D06.g_SS
;SCQGLR2010E09.g_SS
;SCJFRZ2026E05.g_SS
;SCUTST3087F10.g_SS
Transporters;SCCCCL3004F04.b_SS
;SCEZHR1084H08.g_SS
;SCBFRZ2019H02.g_SS
;SCEZRT2023A04.g_SS
;SCEZRT2023A09.g_SS
;SCEZRT2023C08.g_SS
;SCEZRT2023E09.g_SS
Cell wall;SCCCLR1066B10.g_SS
;SCSGST1072F04.g_SS
;SCACCL6010F06.g_SS
;SCEZRT2024F07.g_SS
;SCJFST1012F10.g_SS
;SCBGLR1023D04.g_SS
;SCJFRT2053C01.g_SS
;SCEZSB1090H02.g_SS
;SCEPCL6021E03.g_SS
;SCJFRT2053A08.g_SS
;SCCCLR1C02C11.g_SS
Library-specific;SCQGST3153C06.g_SS
;SCQGSB1066H08.g_SS
Protein metabolism;SCUTLR2015A03.g_SS
;SCCCRZ1C01D04.g_SS
Cell wall;SCVPRZ2042G03.g_SS
Pathogenicity;SCMCCL6052D01.g_SS
;SCEQLR1093E06.g_SS
Cell cycle;SCQGHR1010A03.g_SS
Stress;SCACCL6011A06.g_SS
;SCACCL6011D02.g_SS
No matches;SCJFRT2053D01.g_SS
;SCJFRT2053D05.g_SS
;SCJFRT2053C06.g_SS
Protein phosphatase;SCJFRT2053C08.g_SS
Nucleic acid metabolism;SCBFLR1083C04.g_SS
;SCJFRT2054C08.g_SS
;SCAGCL6013A03.g_SS
;SCJFRT2054A09.g_SS
Protein metabolism;SCJFLR1017B02.g_SS
;SCJFRT2054A08.g_SS
;SCCCCL4017D01.g_SS
;SCEZAD1078B12.g_SS
Cell wall;SCCCRZ1002A09.g_SS
Receptors;SCJFRT2053D10.g_SS
;SCACCL6006C02.g_SS
Protein kinase;SCAGCL6013F06.g_SS
;SCAGCL6013A09.g_SS
;SCAGCL6013C09.g_SS
Ubiquitination;SCAGCL6013E03.g_SS
Cell cycle;SCEQLB1065D02.g_SS
Stress;SCJFRT2054E06.g_SS
;SCQGLR2025G04.g_SS
Cell wall;SCEPLR1051B04.g_SS
;SCQGSB1083C11.g_SS
;SCAGST3139C04.g_SS
;SCCCCL4010H02.g_SS
Receptors;SCCCRZ3001D06.g_SS
Inositol;SCJFRT1007F09.g_SS
;SCEPRZ1010E11.g_SS
;SCEZRZ1017E03.g_SS
Photosynthesis;SCQGSB1083G08.g_SS
Receptors;SCCCLR1072H06.g_SS
;SCQGSB1084F02.g_SS
;SCVPRZ2043A07.g_SS
;SCJFRT2054F10.b_SS
;SCQSSB1056C09.g_SS
;SCACCL6006F12.g_SS
;SCRLLR1059C12.g_SS
;SCEZRT2018D05.g_SS
Transcription Factor;SCQGLR1041E11.g_SS
;SCQGST1031H08.g_SS
;SCACCL6007D01.g_SS
;SCACCL6007E08.g_SS
;SCACCL6006H04.g_SS
;SCACCL6007A10.g_SS
;SCJFRZ2031C06.g_SS
;SCACCL6007H08.g_SS
Stress;SCACLR1057B02.g_SS
;SCEPLR1051G05.g_SS
Carbohydrate metabolism;SCACCL6007G08.g_SS
Receptors;SCAGLB1070E01.g_SS
;SCEQRT1028A05.g_SS
Bioenergetics;SCJFRT2055C03.g_SS
;SCJFRT2055C08.g_SS
Development;SCJLRZ1027B09.g_SS
No matches;SCCCAM2003F08.g_SS
;SCJFRT2055G02.g_SS
;SCUTAM2114A12.g_SS
Receptors;SCCCLR1072E03.g_SS
;SCRLSB1042H02.g_SS
;SCJFRT2055E05.g_SS
;SCQGSB1082C03.g_SS
Protein kinase;SCCCCL4017C03.g_SS
;SCVPRZ2041E10.g_SS
Receptors;SCCCST1006D01.g_SS
Nucleic acid metabolism;SCJFRT2055B09.g_SS
;SCRURT2010F11.g_SS
;SCACCL6008G06.g_SS
;SCJFRT2055A07.g_SS
;SCJFRT2055H11.g_SS
;SCQGSB1083B11.g_SS
;SCCCCL3140C07.g_SS
;SCACCL6009A08.g_SS
;SCJLRZ1026F04.g_SS
Transcription Factor;SCCCCL4009H08.g_SS
;SCRFLR1055F05.g_SS
;SCJFRT2055D11.g_SS
Protein metabolism;SCCCCL4004G07.g_SS
;SCCCCL4009D03.g_SS
Secondary metabolism;SCVPRZ2035F03.g_SS
;SCCCCL6004E03.g_SS
;SCCCCL6004E05.g_SS
Transcription Factor;SCCCCL4002B07.g_SS
;SCCCCL6002H04.g_SS
Pathogenicity;SCJFRZ2013D07.g_SS
Stress;SCJFRT2055E06.b_SS
;SCCCCL6002E04.g_SS
Receptors;SCJFRT2055F11.g_SS
;SCCCCL6002E01.g_SS
;SCCCCL6002D07.g_SS
;SCCCCL6002C11.g_SS
Protein kinase;SCCCCL6002B11.g_SS
;SCBGSB1028G06.g_SS
;SCJFRT2056H01.g_SS
Cell wall;SCCCLR1077A09.g_AS
;SCQSRT2033B06.g_SS
Nucleic acid metabolism;SCAGLR1043H02.g_SS
;SCCCLR1076A06.g_AS
;SCRFLB1053E02.g_SS
;SCCCRT2C05C08.g_SS
;SCQSRT2031A09.g_SS
Cell wall;SCCCCL4007E06.g_SS
;SCCCLR1080E03.g_AS
;SCCCLR1078H06.g_AS
;SCEPLR1008F07.g_AS
;SCACCL6006F02.g_SS
;SCEPRT2047G08.g_SS
Stress;SCJFRT2057F09.g_SS
Unknown protein;SCACCL6006D08.g_SS
;SCJFRT2057H02.g_SS
;SCACCL6006E09.g_SS
;SCVPRT2080F11.g_SS
;SCACCL6006A02.g_SS
Stress;SCEQRT1029A03.g_SS
;SCEZLR1052H06.g_SS
;SCACCL6006A11.g_SS
;SCCCLR2002D01.g_AS
;SCJFRT2059A01.g_SS
;SCEPLR1030G05.g_AS
;SCCCCL6004G12.g_SS
Receptors;SCCCLR1C05G04.g_AS
Protein kinase;SCJFRT2058E01.g_SS
Two component;SCCCLR1077F09.g_AS
;SCJFRT2058G01.g_SS
Cell wall;SCJFRZ2009F11.g_SS
;SCJFRT2058D08.g_SS
;SCBFRZ2045C07.g_SS
;SCCCRZ2002C01.g_AS
Carbohydrate metabolism;SCJLRZ1024A01.g_SS
Amino acid metabolism;SCEPLR1051C05.g_AS
Carbohydrate metabolism;SCEPLR1051A07.g_AS
;SCCCRZ2C03H05.g_SS
;SCCCCL6001B02.g_SS
Cell cycle;SCQSLR1040B09.g_SS
;SCCCCL5072H10.g_SS
;SCCCCL5071H07.g_SS
;SCAGLB1070H02.g_SS
;SCCCCL5072F01.g_SS
;SCJFRT2059B11.g_SS
;SCCCCL5072E01.g_SS
Amino acid metabolism;SCJFRT2059C12.g_SS
;SCEPLB1044D05.g_SS
;SCJFRT2059E07.g_SS
;SCCCCL5072A01.g_SS
;SCCCCL6002F05.g_SS
;SCJFRT2059H01.g_SS
Transcription Factor;SCJFRT2059H08.g_SS
;SCEQLR1029A07.g_AS
;SCCCRT1002C10.g_SS
;SCEQLR1029E11.g_AS
;SCJLFL1047F07.g_SS
;SCJFAD1010F01.b_SS
Cell cycle;SCEQLR1029C09.g_AS
;SCEQLR1029D04.g_AS
;SCEQLR1091C05.g_AS
Transcription Factor;SCCCCL3001G03.g_AS
;SCCCCL6002A01.g_SS
Secondary metabolism;SCCCCL6002B03.g_SS
;SCACLR1057C02.g_SS
;SCQSAM1033H01.g_SS
No matches;SCCCCL6001D06.g_SS
Carbohydrate metabolism;SCCCCL4003E08.g_SS
Bioenergetics;SCCCLR1C07G01.g_SS
;SCJFRT2060A04.g_SS
Transcription Factor;SCCCCL6001D08.g_SS
;SCCCLR1076C03.g_SS
Amino acid metabolism;SCCCCL6001H08.g_SS
Protein kinase;SCJFRT2059H09.g_SS
Nucleic acid metabolism;SCCCCL3002H01.b_SS
Nucleic acid metabolism;SCVPLR2012H02.g_AS
;SCJFRT2060A01.g_SS
;SCJFRT2060E01.g_SS
;SCEQLR1091E07.g_AS
;SCJFRT2060G07.g_SS
;SCBFRZ2016F06.g_SS
;SCEQLR1092A03.g_AS
Bioenergetics;SCJFRT2060C11.g_SS
;SCEQLR1092A10.g_AS
Stress;SCEQLR1092C09.g_AS
Protein metabolism;SCEQLR1092H08.g_AS
Stress;SCEQRT1024B11.g_SS
Bioenergetics;SCEQLR1093A12.g_AS
;SCCCRZ2C04G12.g_AS
;SCEZLR1031H02.g_AS
Carbohydrate metabolism;SCEZLR1031G02.g_AS
Nucleic acid metabolism;SCEZLR1009A03.g_AS
;SCEZLR1009C04.g_AS
Cell wall;SCCCCL4002D03.g_AS
;SCCCLR1C08G09.g_AS
Protein phosphatase;SCACLR1036C04.g_AS
;SCCCLR1C03F11.g_AS
;SCJFLR1035E01.g_AS
Nucleic acid metabolism;SCJFLR1013F11.g_AS
Protein kinase;SCJFLR1013F07.g_AS
;SCEZLR1052C01.g_AS
;SCEZLR1031C11.g_AS
Protein kinase;SCCCRZ2C01G11.g_AS
Stress;SCJFLR1073C07.g_AS
;SCJFLR1073C03.g_AS
Transcription Factor;SCJFLR1073F10.g_SS
;SCCCLR1C07C01.g_AS
Ubiquitination;SCQGLB1027F07.g_SS
Small GTPases;SCQGLB1027A01.g_SS
;SCEZLB1014E07.g_SS
;SCEZLB1014D11.g_SS
;SCCCCL4012D02.g_SS
Protein metabolism;SCCCCL4010C10.g_SS
;SCQGLB1028A07.g_SS
;SCQGLB1027H03.g_SS
;SCEQLB1067H09.g_AS
;SCQGLB1028E02.g_SS
;SCCCLR1C02F05.g_AS
Cell cycle;SCJFLR1074E05.g_AS
;SCJFLR1074D04.g_AS
;SCJFLR1074C02.g_AS
Secondary metabolism;SCCCRZ1C01E09.g_AS
Carbohydrate metabolism;SCCCCL3002E04.b_AS
;SCVPRZ3031D11.g_AS
Hormone biosynthesis;SCJLLR1011C06.g_AS
Lipid, fatty-acid and isoprenoid metabolism;SCJLLR1011B02.g_AS
Stress;SCJLLR1033A07.g_AS
;SCRFLR1012G01.g_AS
Cell cycle;SCCCLR1C03E09.g_AS
;SCEPRZ1008A10.g_AS
Stress;SCCCLR1C03A09.g_AS
No matches;SCJLLR1033G10.g_AS
;SCJLLR1033H05.g_AS
;SCJLLR1107C08.g_SS
;SCCCRT1002H07.g_SS
;SCEZRT2022D07.g_SS
;SCRURT2008D01.g_SS
;SCEZRT2022F11.g_SS
;SCEPRZ1008B05.g_SS
;SCEZLB1006D01.g_SS
;SCEZLB1005G07.g_SS
;SCEZLB1005H06.g_SS
;SCEZLB1006E05.g_SS
;SCEZLB1006F04.g_SS
;SCEZLB1005F12.g_SS
;SCCCLR2001D01.g_SS
;SCEZLB1005B10.g_SS
;SCEZLB1005A11.g_SS
;SCEQLB1067F10.g_SS
Small GTPases;SCCCLR2002H12.g_SS
;SCEQLB1068A04.g_SS
Protein metabolism;SCEPRZ1011C11.g_SS
;SCCCCL3080G01.g_SS
;SCEZRZ1015F06.g_SS
;SCACLR2014A01.g_SS
Cell wall;SCEQLB1067D01.g_SS
Protein metabolism;SCJFLR1074C12.g_SS
;SCEQLB1067D02.g_SS
;SCEQLB1066E10.g_SS
;SCEQLB1066B06.g_SS
;SCEQLB1066C10.g_SS
;SCEQLB1065H02.g_SS
Nucleic acid metabolism;SCCCCL3005H09.b_SS
;SCCCLR1001H04.g_SS
;SCSGLR1025C10.g_SS
Calcium metabolism;SCCCCL4005E12.g_SS
;SCEQLB1065E04.g_SS
Stress;SCEQLB1065A07.g_SS
Cell cycle;SCEQLB1065B08.g_SS
;SCEPRZ1010B05.g_SS
;SCEQLB1065C11.g_SS
Phosphatases;SCCCRZ2002E10.g_SS
;SCCCLB1021B09.g_SS
;SCVPRZ2035C02.g_AS
;SCEQLB1064G03.g_SS
Development;SCVPRZ2035D12.g_AS
;SCEQLB1064H09.g_SS
;SCCCRZ2C01A06.g_SS
Carbohydrate metabolism;SCVPRZ2036B05.g_AS
;SCEQLB1064E12.g_SS
;SCVPRZ2037E03.g_AS
Transcription Factor;SCVPRZ2036F01.g_AS
;SCUTRZ2022G12.g_AS
Nucleic acid metabolism;SCEZLB1013H04.g_SS
;SCCCLR1067E11.g_SS
;SCEZLB1007A01.g_SS
;SCQSLB1049F05.g_AS
;SCEZLB1013C02.g_SS
Receptors;SCVPRZ2035C01.g_AS
;SCQSST1037E08.g_AS
;SCEZLB1012E08.g_SS
Secondary metabolism;SCCCLR1077A03.g_AS
;SCEZLB1012H07.g_SS
;SCBGLR1023C09.g_SS
;SCUTRZ2024G11.g_AS
;SCEZLB1014B12.g_SS
;SCSGCL6071H11.g_AS
Receptors;SCEZLB1013C12.g_SS
;SCUTRZ2024A06.g_AS
Inositol;SCUTRZ2024G10.g_AS
Stress;SCCCST1C06A07.g_AS
;SCEZLB1012D08.g_SS
Cell wall;SCEZLB1012C12.g_SS
;SCEZLB1012E05.g_SS
Protein phosphatase;SCMCST1051F08.g_AS
Stress;SCJLRT1020A09.g_AS
Cell wall;SCEZLB1010H01.g_SS
Stress;SCCCRT1002F07.g_AS
Cell cycle;SCMCRT2085G08.g_AS
;SCEZLB1010H08.g_SS
Protein metabolism;SCCCLR1079G09.g_SS
Protein metabolism;SCACCL6006H12.g_AS
Protein metabolism;SCQGLR1086G07.g_SS
Nucleic acid metabolism;SCEPRZ1009D06.g_AS
Nucleic acid metabolism;SCEPAM2056B08.g_SS
;SCEZLB1012B01.g_SS
;SCVPRZ2035A06.g_AS
;SCQGST1033H02.g_AS
;SCCCCL4006C12.g_AS
;SCEZLB1014H08.g_AS
;SCMCRT2105F08.g_AS
;SCEZLB1010G12.g_SS
;SCEZLB1010G04.g_SS
;SCEZLB1010G01.g_SS
Nucleic acid metabolism;SCEQLR1091F12.g_SS
;SCCCLR1076E01.g_SS
Transcription Factor;SCCCLR1068F02.g_SS
;SCJFRZ2033H06.g_AS
;SCCCLB1003B03.g_SS
Protein phosphatase;SCCCRZ2C04B09.g_AS
;SCEZRZ1014D10.g_SS
;SCEZLB1008G01.g_SS
;SCCCRZ2C04G03.g_AS
;SCJFRZ2013E04.g_AS
;SCEZLB1008H03.g_SS
other;SCJFRZ2034D04.g_AS
;SCJFRZ2034D09.g_AS
Cell wall;SCQSRT1034C08.g_AS
Amino acid metabolism;SCSFRT2069F10.g_AS
;SCSBRZ2021F12.g_AS
Development;SCUTRZ2008E06.g_AS
Transporters;SCQSRT2032A08.g_AS
;SCEZLB1008C05.g_SS
;SCEZLB1007F06.g_SS
Cell cycle;SCEZLB1007C11.g_SS
;SCEZLB1007G06.g_SS
;SCEZLB1007B09.g_SS
;SCQSLR1089A09.g_SS
;SCAGLR1064H05.g_SS
;SCEZLB1007C08.g_SS
Receptors;SCJFRZ2027C05.g_AS
Cell wall;SCEQLB1066E08.g_AS
;SCRFLR2034D06.g_AS
Protein metabolism;SCEQLB1066D08.g_AS
;SCAGLR2011B03.g_AS
Cell wall;SCEZLB1006G10.g_SS
Cell wall;SCJFRZ2031B11.g_AS
;SCCCLR1C04E05.g_AS
;SCJFRZ2033D03.g_AS
Stress;SCJFLR1013D08.g_AS
;SCCCLR1068E08.g_AS
;SCJFST1010B09.g_SS
;SCJFAD1013H02.g_SS
Lipid, fatty-acid and isoprenoid metabolism;SCMCRT2102E07.g_SS
;SCACLR2014B09.g_SS
Unknown protein;SCCCRZ2C03H04.g_AS
No matches;SCRFLR2021F01.g_AS
;SCJFRZ2030A12.b_AS
;SCEPAM1108H08.g_AS
Nucleic acid metabolism;SCEPAM1019A04.g_AS
;SCCCLR1C03A03.g_SS
;SCCCCL5004F03.g_SS
Protein metabolism;SCJFRZ2030A11.g_AS
;SCEPAM1108G11.g_AS
Stress;SCCCLR1C05D04.g_SS
;SCJFST1011G05.g_AS
;SCVPLR2019B02.g_AS
;SCCCCL5004F08.g_SS
Receptors;SCEZLB1014E04.g_AS
;SCRUSB1078G08.g_SS
;SCCCCL5004F11.g_SS
;SCCCLR1067B10.g_AS
;SCRUSB1078G10.b_SS
;SCCCCL5004F04.g_SS
;SCJFRZ2030A09.g_AS
;SCRFST1043C02.g_SS
;SCBGLR1003E05.g_SS
;SCCCCL7C01A07.g_AS
Phosphatases;SCCCLR1080G11.g_SS
Stress;SCCCLR1C01B10.g_SS
Lipid, fatty-acid and isoprenoid metabolism;SCCCLR1024G02.g_AS
;SCCCCL5071E02.g_SS
;SCAGLR1064D03.g_SS
;SCCCRZ2C04B08.g_SS
Chromatin regulation;SCCCCL5071E07.g_SS
;SCMCRT2089D10.g_SS
Stress;SCJLRT1016A04.g_SS
;SCSFRT2068E06.g_SS
;SCRUSB1062D04.g_SS
Protein kinase;SCJLRT2049A05.g_SS
;SCRUSB1062D05.g_SS
;SCJFRZ2029F04.g_AS
Secondary metabolism;SCJLRT2049H04.g_SS
Cell cycle;SCCCLR1C05C04.g_AS
;SCJFRZ2028C09.g_AS
Protein metabolism;SCQSLR1040G11.g_AS
;SCJFRT2060H11.g_SS
;SCQGAM2111H03.g_SS
;SCAGLR1021G12.g_AS
;SCRUSB1061F01.g_SS
No matches;SCUTRZ3106F01.g_SS
;SCRFLR2038C02.g_SS
Protein phosphatase;SCCCCL4002C06.g_AS
;SCSBAM1087B07.g_AS
;SCJLRT2049F05.g_SS
;SCSGAM1095G01.g_SS
Amino acid metabolism;SCJLRZ1024A12.g_SS
;SCQSAM1034G05.g_SS
;SCCCCL5003C09.g_SS
Cell wall;SCRLAD1041D10.g_AS
;SCJLRT2049D08.g_SS
Nitrogen metabolism;SCEZLB1013B06.g_SS
Protein metabolism;SCQGLR2017D02.g_SS
;SCBGLR1114F09.g_SS
Protein kinase;SCQSLR1089G03.g_SS
;SCCCCL5003G10.g_SS
Transcription Factor;SCCCLR1022C05.g_SS
;SCVPLB1017D10.g_SS
;SCCCCL5004A09.g_SS
;SCCCCL5004F02.g_SS
;SCEQRT1025B05.g_SS
;SCJFRZ2014H08.g_AS
Transcription Factor;SCCCLR1072G02.g_AS
No matches;SCJFRZ2015B01.g_AS
;SCCCLR1069F09.g_AS
Development;SCJFRZ2030H03.g_AS
Protein kinase;SCJFRZ2015D01.g_AS
;SCEPAM1020H12.g_SS
Carbohydrate metabolism;SCEZRZ1017E02.g_SS
Protein metabolism;SCRFLR1012F06.g_AS
;SCEQRT1031D05.g_SS
Protein metabolism;SCJFRZ2033A02.g_SS
Unknown protein;SCRUSB1062H04.g_SS
;SCQGAM2107H07.g_AS
Carbohydrate metabolism;SCBFLR1039F10.g_AS
Transcription Factor;SCBFRZ2048C10.g_SS
;SCRUSB1062G12.g_SS
Bioenergetics;SCRUSB1062E05.g_SS
;SCJFRZ2013H12.g_AS
Secondary metabolism;SCQSLB1052F09.g_SS
;SCJFRZ2013H01.g_AS
;SCCCST3C04F07.g_AS
Receptors;SCJFRZ2011C11.g_AS
Transcription Factor;SCEPLB1042D02.g_AS
;SCJFRZ2011H04.g_AS
Secondary metabolism;SCQGAM2107C11.g_AS
Nucleic acid metabolism;SCCCLR1080B01.g_AS
;SCJFRZ2011D10.g_AS
Protein metabolism;SCJFRZ2011C12.g_AS
;SCQSLB1051H09.g_AS
;SCBGLR1023G12.g_AS
;SCJFRZ2011D07.g_AS
;SCJFRZ1006H09.g_AS
;SCJFRZ2009E06.g_AS
;SCJFRZ2010A03.g_AS
;SCVPST1061A11.g_SS
;SCQSSB1056H01.g_SS
;SCBGRT3074A05.g_SS
;SCJFRZ2010D05.g_AS
Cell cycle;SCJLLR1011A06.g_SS
;SCQSSB1056F07.b_SS
;SCJFRZ2011A07.g_AS
;SCSFSB1072E01.g_SS
;SCCCLR1048E03.g_SS
;SCJFRZ2010A06.g_AS
;SCSBSB1057E08.g_SS
;SCJFRZ2010G03.g_AS
Cell wall;SCSBSB1057E03.g_SS
;SCSBSB1057A03.g_SS
;SCJFRZ2010A01.g_AS
;SCEQLB1064D06.g_SS
;SCEQLB1064C11.g_SS
;SCQSSB1056D04.g_SS
;SCCCLR1C01C07.g_SS
;SCUTLR2015F03.g_SS
;SCEQLB1063H05.g_SS
;SCEQLB1063H04.g_SS
Transcription Factor;SCEQLB1063H10.g_SS
;SCEQLB1063H08.g_SS
;SCEQLB1064C07.g_SS
Pathogenicity;SCEQLB1064A11.g_SS
;SCSBSB1057F12.g_SS
Stress;SCSBSB1057H09.g_SS
;SCUTAM2085A05.g_SS
Protein phosphatase;SCQGLR1085B04.g_SS
Cell cycle;SCCCCL5071D02.g_SS
;SCVPRZ2042G02.g_SS
;SCCCRZ1001G07.g_SS
Carbohydrate metabolism;SCEZLB1006F11.g_SS
;SCSFST3078D05.g_SS
Stress;SCRUHR1077H01.g_SS
;SCSBRZ3118D12.g_SS
;SCRFSB1023F06.g_AS
;SCCCLR1C10E12.g_SS
;SCRFSB1023C12.g_AS
;SCEPCL6020A07.g_SS
Development;SCBFRZ2050F02.g_SS
;SCCCLR1022E07.g_AS
Pathogenicity;SCRFSB1024C11.g_AS
lipid metabolism;SCACLR2022H05.g_AS
;SCQGFL4074H06.g_AS
;SCRUSB1078B08.g_SS
;SCUTSB1073B12.g_SS
Carbohydrate metabolism;SCBGLR1119B08.g_SS
;SCRUSB1078A08.g_SS
;SCRUSB1078A07.g_SS
;SCQSSB1077H08.g_SS
;SCEPAM2011E07.g_AS
;SCRFSB1021D07.g_AS
Carbohydrate metabolism;SCVPLR2019E10.g_SS
Nucleic acid metabolism;SCQSRT2031C12.g_SS
;SCCCST3C05G05.g_SS
;SCCCCL4010E11.g_AS
;SCRUSB1078H03.g_SS
;SCRUSB1078B10.g_SS
Transporters;SCVPLR2012F07.g_AS
Protein metabolism;SCRFLR2038H10.g_AS
;SCRFFL5036H03.g_SS
;SCSFLR2016A11.g_SS
;SCVPCL6039C01.g_SS
Carbohydrate metabolism;SCCCCL6001A01.g_SS
;SCRUSB1078D06.b_SS
;SCEPRZ3128A07.g_AS
Pathogenicity;SCEQRT1028C03.g_SS
;SCEQRT2092H07.g_SS
;SCEQRT2093C03.g_SS
;SCCCRT1003E05.g_SS
;SCEPCL6022F02.g_SS
;SCMCRT2089F05.g_SS
;SCCCCL6C02C10.g_SS
;SCCCLR1072C10.g_AS
;SCCCCL7001D07.g_SS
;SCQGSB1137C09.g_SS
Cell wall;SCEQRT1024E12.g_AS
Hormone biosynthesis;SCEZST3149G08.g_AS
;SCBFFL1142D06.g_SS
;SCSFRT2070C10.g_SS
Amino acid metabolism;SCJFLR1073D12.g_SS
;SCAGLR2033B06.g_SS
;SCCCCL3120H04.g_SS
;SCEQRT2094A12.g_SS
;SCEZLR1009D11.g_SS
;SCEZLB1009B03.g_SS
;SCCCCL4017G09.g_SS
;SCEQRT2094C08.g_SS
;SCCCLR2001H02.g_SS
;SCCCCL4004C03.g_SS
Cell wall;SCCCCL3002A03.b_SS
;SCCCLR1C05B09.g_SS
;SCVPST1063C05.g_SS
;SCEZRZ1016G04.g_SS
;SCEQRT2094D05.g_SS
Carbohydrate metabolism;SCJFLR1035C02.g_SS
Transporters;SCEQLB1066D03.g_SS
Stress;SCEQRT2094G03.g_SS
Transcription Factor;SCEQRT2095A03.g_SS
Stress;SCJLHR1029E03.g_AS
;SCCCST3C14G12.g_AS
Cell wall;SCCCLR1048B09.g_AS
Transcription Factor;SCJFRZ2009F04.g_AS
;SCEPCL6023G08.g_SS
;SCEPCL6025D11.g_SS
;SCSFAD1108C05.g_SS
;SCCCAM1C03F09.g_AS
Pathogenicity;SCCCCL6C03G01.g_SS
;SCSBAD1084A09.g_AS
;SCEQAM1044A12.g_AS
;SCEQRT2095E12.g_SS
;SCEQRT2095B05.g_SS
Stress;SCEQRT1033F06.g_SS
Pathogenicity;SCEQRT2095B01.g_SS
Carbohydrate metabolism;SCJFRT2060H03.g_SS
;SCEPCL6023A10.g_SS
;SCEQRT2095H09.g_SS
Cell wall;SCCCRZ1001B11.g_SS
;SCEQRT2095H08.g_SS
;SCEPCL6023E10.g_SS
;SCEQRT2095G07.g_SS
;SCEPCL6023G04.g_SS
;SCCCCL4013A05.g_SS
Nucleic acid metabolism;SCCCCL4002F10.g_SS
Transporters;SCCCLR1C02C09.g_SS
;SCEPRZ1009G11.g_SS
;SCEQRT2092D03.g_SS
;SCEQRT2092D01.g_SS
;SCCCCL6005D08.g_SS
;SCCCCL6005C06.g_SS
;SCCCCL6005D07.g_SS
Transcription Factor;SCEQRT2101E10.g_SS
No matches;SCACLR1126E09.g_AS
;SCCCRZ1004G04.g_SS
;SCEPRZ1009H10.g_AS
;SCEZRT2015C02.g_SS
;SCEZRT2015C08.g_SS
;SCMCRZ3065B08.g_AS
;SCEZRT2015C12.g_SS
;SCBGLR1096D01.g_AS
;SCVPLR2005D10.g_AS
;SCEZRT2015D11.g_SS
Unknown protein;SCBGLR1096A03.g_AS
;SCVPLR1028E01.g_AS
;SCCCCL6003G04.g_SS
;SCCCCL6003G01.g_SS
;SCCCCL6003E12.g_SS
;SCCCCL6005C04.g_SS
;SCEQRT2101A03.g_SS
;SCEQRT2101B11.g_SS
;SCJLLR1033B04.g_SS
;SCEQRT2101E09.g_SS
;SCCCCL6003H04.g_SS
;SCEPCL6018D09.g_SS
;SCEPCL6019C06.g_SS
;SCBGLR1096H02.g_AS
;SCJFRZ2007F03.g_AS
;SCVPCL6064D09.g_SS
;SCEZRT2016C01.g_SS
;SCEQRT2090H09.g_SS
Cell wall;SCVPRT2074D01.g_SS
;SCBGLR1097D08.g_AS
;SCEZRT2016D05.g_SS
G protein;SCEZRZ1017B08.g_AS
;SCEZRT2016G10.g_SS
Carbohydrate metabolism;SCCCLR1065C02.g_AS
Transporters;SCEZLB1005C10.g_SS
;SCCCCL6005E10.g_SS
;SCJFLR1074G04.g_SS
;SCCCCL6005G01.g_SS
Cell wall;SCJLRT1023A03.g_SS
;SCEPCL6018C01.g_SS
;SCJLRT1023H05.g_SS
Stress;SCCCLR1022A06.g_SS
;SCJFRZ2005G11.g_SS
;SCAGLR1064A12.g_SS
;SCEZRT2015F07.g_SS
;SCEPCL6018D01.g_SS
;SCEQRT2096E09.g_SS
Secondary metabolism;SCEQRT1025E06.g_SS
;SCBGLR1082F09.g_SS
Cell wall;SCEPCL6019C12.g_SS
Protein metabolism;SCCCLB1001A06.g_SS
Transcription Factor;SCEQRT2091B01.g_SS
;SCVPLB1017E05.g_SS
;SCEQRT2097E12.g_SS
;SCEQRT2097F07.g_SS
No matches;SCEQRT2098E08.g_SS
;SCEQLR1050F09.g_SS
Transcription Factor;SCSGLR1084D09.g_SS
;SCEPCL6020D10.g_SS
;SCEPCL6020D07.g_SS
;SCEPCL6020C12.g_SS
;SCEPRZ1011G05.g_SS
